#Minuto Promedio Desviacion
890 0.5 0.806226
891 0.5 0.806226
892 0.5 0.806226
893 0.6 0.8
894 0.6 0.8
895 0.6 0.8
896 0.6 0.8
897 0.6 0.8
898 0.4 0.663325
899 0.4 0.663325
900 0.4 0.663325
901 0.4 0.663325
902 0.4 0.663325
903 0.4 0.663325
904 0.4 0.663325
905 0.4 0.663325
906 0.4 0.663325
907 0.4 0.663325
908 0.4 0.663325
909 0.4 0.663325
910 0.4 0.663325
911 0.4 0.663325
912 0.4 0.663325
913 0.4 0.663325
914 0.4 0.663325
915 0.4 0.663325
916 0.4 0.663325
917 0.4 0.663325
918 0.4 0.663325
919 0.3 0.640312
920 0.3 0.640312
921 0.4 0.663325
922 0.4 0.663325
923 0.4 0.663325
924 0.4 0.663325
925 0.3 0.640312
926 0.3 0.640312
927 0.2 0.6
928 0.3 0.640312
929 0.3 0.640312
930 0.3 0.640312
931 0.3 0.640312
932 0.3 0.640312
933 0.3 0.640312
934 0.4 0.663325
935 0.3 0.640312
936 0.4 0.663325
937 0.4 0.663325
938 0.4 0.663325
939 0.3 0.640312
940 0.3 0.640312
941 0.3 0.640312
942 0.4 0.916515
943 0.4 0.916515
944 0.4 0.916515
945 0.5 0.921954
946 0.5 0.921954
947 0.5 0.921954
948 0.5 0.921954
949 0.5 0.921954
950 0.5 0.921954
951 0.5 0.921954
952 0.5 0.921954
953 0.4 0.916515
954 0.4 0.916515
955 0.4 0.916515
956 0.3 0.9
957 0.3 0.9
958 0.3 0.9
959 0.3 0.9
960 0.3 0.9
961 0.3 0.9
962 0.3 0.9
963 0.3 0.9
964 0.3 0.9
965 0.3 0.9
966 0.3 0.9
967 0.3 0.9
968 0.3 0.9
969 0.3 0.9
970 0.4 0.916515
971 0.4 0.916515
972 0.4 0.916515
973 0.4 0.916515
974 0.4 0.916515
975 0.4 0.916515
976 0.5 1.0247
977 0.5 1.0247
978 0.5 1.0247
979 0.4 0.916515
980 0.4 0.916515
981 0.4 0.916515
982 0.4 0.916515
983 0.4 0.916515
984 0.4 0.916515
985 0.4 0.916515
986 0.4 0.916515
987 0.4 0.916515
988 0.5 0.921954
989 0.4 0.916515
990 0.4 0.916515
991 0.4 0.916515
992 0.4 0.916515
993 0.4 0.916515
994 0.4 0.916515
995 0.4 0.916515
996 0.5 0.921954
997 0.5 0.921954
998 0.5 0.921954
999 0.5 0.921954
1000 0.5 0.921954
1001 0.5 0.921954
1002 0.6 0.916515
1003 0.6 0.916515
1004 0.6 0.916515
1005 0.6 0.916515
1006 0.6 0.916515
1007 0.7 1.00499
1008 0.8 1.07703
1009 0.7 1.00499
1010 0.7 1.00499
1011 0.7 1.00499
1012 0.7 1.00499
1013 0.7 1.00499
1014 0.7 1.00499
1015 0.8 0.979796
1016 0.8 0.979796
1017 0.8 0.979796
1018 0.7 1.00499
1019 0.7 1.00499
1020 0.7 1.00499
1021 0.7 1.00499
1022 0.7 1.00499
1023 0.5 0.921954
1024 0.5 0.921954
1025 0.5 0.921954
1026 0.5 0.921954
1027 0.5 0.921954
1028 0.4 0.916515
1029 0.3 0.640312
1030 0.4 0.8
1031 0.4 0.8
1032 0.4 0.8
1033 0.4 0.8
1034 0.4 0.8
1035 0.4 0.8
1036 0.4 0.8
1037 0.4 0.8
1038 0.4 0.8
1039 0.4 0.8
1040 0.3 0.640312
1041 0.3 0.640312
1042 0.3 0.640312
1043 0.3 0.640312
1044 0.3 0.640312
1045 0.3 0.640312
1046 0.2 0.6
1047 0.2 0.6
1048 0.2 0.6
1049 0.2 0.6
1050 0.2 0.6
1051 0.1 0.3
1052 0.1 0.3
1053 0.1 0.3
1054 0.1 0.3
1055 0.1 0.3
1056 0.1 0.3
1057 0.1 0.3
1058 0.1 0.3
1059 0.1 0.3
1060 0.2 0.4
1061 0.2 0.4
1062 0.3 0.458258
1063 0.3 0.458258
1064 0.3 0.458258
1065 0.3 0.458258
1066 0.3 0.458258
1067 0.3 0.458258
1068 0.3 0.458258
1069 0.3 0.458258
1070 0.3 0.458258
1071 0.2 0.4
1072 0.2 0.4
1073 0.2 0.4
1074 0.2 0.4
1075 0.2 0.4
1076 0.2 0.4
1077 0.2 0.4
1078 0.2 0.4
1079 0.2 0.4
1080 0.2 0.4
1081 0.2 0.4
1082 0.2 0.4
1083 0.2 0.4
1084 0.2 0.4
1085 0.2 0.4
1086 0.2 0.4
1087 0.2 0.4
1088 0.2 0.4
1089 0.2 0.4
1090 0.2 0.4
1091 0.2 0.4
1092 0.2 0.4
1093 0.2 0.4
1094 0.2 0.4
1095 0.2 0.4
1096 0.2 0.4
1097 0.2 0.4
1098 0.3 0.458258
1099 0.3 0.458258
1100 0.3 0.458258
1101 0.3 0.458258
1102 0.3 0.458258
1103 0.3 0.458258
1104 0.3 0.458258
1105 0.3 0.458258
1106 0.3 0.458258
1107 0.2 0.4
1108 0.3 0.458258
1109 0.2 0.4
1110 0.3 0.640312
1111 0.3 0.640312
1112 0.2 0.4
1113 0.2 0.4
1114 0.2 0.4
1115 0.2 0.4
1116 0.2 0.4
1117 0.2 0.4
1118 0.3 0.640312
1119 0.4 0.663325
1120 0.4 0.663325
1121 0.4 0.663325
1122 0.4 0.663325
1123 0.3 0.640312
1124 0.3 0.640312
1125 0.5 0.67082
1126 0.5 0.67082
1127 0.5 0.67082
1128 0.5 0.67082
1129 0.4 0.489898
1130 0.4 0.489898
1131 0.4 0.489898
1132 0.4 0.489898
1133 0.4 0.489898
1134 0.4 0.489898
1135 0.4 0.489898
1136 0.3 0.458258
1137 0.3 0.458258
1138 0.3 0.458258
1139 0.3 0.458258
1140 0.3 0.458258
1141 0.3 0.458258
1142 0.2 0.4
1143 0.2 0.4
1144 0.2 0.4
1145 0.2 0.4
1146 0.2 0.4
1147 0.4 0.489898
1148 0.4 0.489898
1149 0.4 0.489898
1150 0.3 0.458258
1151 0.3 0.458258
1152 0.4 0.489898
1153 0.3 0.458258
1154 0.2 0.4
1155 0.2 0.4
1156 0.2 0.4
1157 0.2 0.4
1158 0.2 0.4
1159 0.2 0.4
1160 0.2 0.4
1161 0.3 0.640312
1162 0.2 0.4
1163 0.3 0.640312
1164 0.2 0.4
1165 0.2 0.4
1166 0.2 0.4
1167 0.3 0.458258
1168 0.3 0.458258
1169 0.3 0.458258
1170 0.3 0.458258
1171 0.4 0.663325
1172 0.4 0.663325
1173 0.4 0.489898
1174 0.4 0.489898
1175 0.4 0.489898
1176 0.4 0.489898
1177 0.4 0.489898
1178 0.4 0.489898
1179 0.4 0.489898
1180 0.7 0.640312
1181 0.7 0.640312
1182 0.5 0.67082
1183 0.5 0.67082
1184 0.5 0.67082
1185 0.5 0.806226
1186 0.4 0.663325
1187 0.5 0.67082
